category,item,description,runtime_location,required,status,source_type,source_doc,printed_page,pdf_page,table_or_section,method_id,notes
benefit,db_ee_cont_rate,Employee contribution rate (DB),plan_config.json:benefit.db_ee_cont_rate,required,have,AV-direct,AV_2024,53,60,"Appendix 1 Section F — MEMBER CONTRIBUTIONS",,"Verified 2026-05-01 against AV: Appendix 1 F states ""8.25% for Fiscal Years on and after 2024."" Cert letter on printed p. 3 / PDF p. 4 corroborates: ""member contribution rate has increased from 7.70% to the current 8.25% in Fiscal Year 2024."" Statutory phase-in (2019 Legislature) completed FY 2025."
benefit,db_ee_interest_rate,Interest rate credited on employee contributions,plan_config.json:benefit.db_ee_interest_rate,required,have,plan-admin-direct,BENEFITS_HANDBOOK,7,10,"Member Contribution Account — Interest Earned",,"Verified 2026-05-01: ""Interest on your contributions is currently calculated at the rate of 2% a year. TRS credits interest on Aug. 31 of each year."" Also published on https://www.trs.texas.gov/pension-benefits/know-benefits/understand-benefits/member-contributions: ""Keep in mind, your contributions continue to earn 2% interest per year."" The AV does not restate this rate; statute delegates the rate to the TRS Board, which has set it at 2%. Searched AV Appendix 1 (printed pp. 46-53) and Appendix 2 §1-4 (printed pp. 60-66); only 5%/year on DROP accounts is mentioned in the AV (Appendix 1 A.6 b.5)."
benefit,fas_years_default,FAS averaging years (non-grandfathered),plan_config.json:benefit.fas_years_default,required,have,AV-direct,AV_2024,46,53,"Appendix 1 Section A.2 — Standard Annuity",,"Verified 2026-05-01: ""average of the highest five annual salaries (based on creditable compensation)."" Default applies to non-grandfathered members."
benefit,fas_years_grandfathered,FAS averaging years (grandfathered),plan_config.json:benefit.fas_years_grandfathered,conditional,have,AV-direct,AV_2024,46,53,"Appendix 1 Section A.2 — Standard Annuity",,"Verified 2026-05-01: ""Members who as of August 31, 2005, were either age 50, had 25 years of service, or whose age plus service totaled 70 have their standard annuity calculated using the average of their highest three annual salaries."""
benefit,min_benefit_monthly,Statutory minimum monthly benefit,plan_config.json:benefit.min_benefit_monthly,optional,have,AV-direct,AV_2024,46,53,"Appendix 1 Section A.2 — Normal Retirement Benefits",,"Verified 2026-05-01: ""Greater of standard annuity, or $150 per month."""
benefit,benefit_types,List of benefit types in plan,plan_config.json:benefit.benefit_types,required,have,AV-direct,AV_2024,,,Plan provisions,,DB only
benefit,retire_refund_ratio,Refund-vs-annuity election share,plan_config.json:benefit.retire_refund_ratio,optional,N/A,,,,,,,Omitted from txtrs-av per source_notes
benefit,cola_block,COLA assumptions by tier and for retirees,plan_config.json:benefit.cola.*,required,have,AV-direct,AV_2024,46,53,"Appendix 1 sections A-E (silence on automatic COLA); H, I (historical ad hoc COLAs); cert letter p. 3 / PDF p. 4 (2023 ad hoc COLA already paid)",,"Verified 2026-05-01: TX TRS has no automatic ongoing COLA. Appendix 1 mentions only historical ad hoc COLAs (1991, 1993 Legislatures) and the 88th Legislature 2023 one-time COLA already paid in FY 2024 and reflected in the 2024 AAL. All cola.*_active = 0.0 and current_retire = 0.0 are AV-supported by silence on automatic COLA."
benefit,cash_balance_block,Cash balance plan parameters,plan_config.json:benefit.cash_balance.*,conditional,N/A,,,,,,,DB-only plan
benefit,dc_block,DC plan parameters,plan_config.json:benefit.dc.*,conditional,N/A,,,,,,,DB-only plan
plan_structure,classes,List of membership classes,plan_config.json:classes,required,have,AV-direct,AV_2024,,,Plan provisions,,Single class "all"
plan_structure,class_groups,Grouping of classes for outputs,plan_config.json:class_groups,required,have,runtime-only,,,,,,
plan_structure,tiers,Tier definitions,plan_config.json:tiers,required,have,AV-direct,AV_2024,,,Plan provisions; Appendix 1,,"4 tiers: grandfathered, pre_2007, vested_2014, current. vested_2014 boundary is approximated by entry year per tier_encoding_note in plan_config"
plan_structure,benefit_multipliers,Benefit multipliers by class and tier,plan_config.json:benefit_multipliers,required,have,AV-direct,AV_2024,46,53,"Appendix 1 Section A.2 — Standard Annuity",,"Verified 2026-05-01: ""The product of 2.3% of the member's average compensation multiplied by years of creditable service."" Flat 2.3% applies all tiers."
plan_structure,plan_design,Default mix of DB/CB/DC for new entrants,plan_config.json:plan_design,required,have,runtime-only,,,,,,DB-only
funding_policy,policy,Funding policy mode,plan_config.json:funding.policy,required,have,AV-direct,AV_2024,3,4,"Cert letter §FINANCING OBJECTIVE OF THE PLAN; Appendix 2 §ACTUARIAL COST METHOD (printed p. 68 / PDF p. 75)",,"Verified 2026-05-01: ""The employee, employer, and State contribution rates are established by State law..."" Cert letter and §ACTUARIAL COST METHOD both confirm rates set by statute / Legislative appropriation."
funding_policy,amo_method,Amortization method,plan_config.json:funding.amo_method,required,have,AV-direct,AV_2024,68,75,"Appendix 2 §ACTUARIALLY DETERMINED EMPLOYER CONTRIBUTION (ADEC)",,"Verified 2026-05-01: ""The ADEC is determined as the level percentage of payroll that will cover the Fund's normal cost and amortize the Fund's unfunded liabilities..."" Cost method is Entry Age Normal (same section)."
funding_policy,amo_period_new,Amortization period for new layers,plan_config.json:funding.amo_period_new,required,have,AV-direct,AV_2024,68,75,"Appendix 2 §ACTUARIALLY DETERMINED EMPLOYER CONTRIBUTION (ADEC)",,"Verified 2026-05-01: ""...if the fixed rate contributions produce a funding period in excess of 30 years then a 30-year amortization period is used."" The AV uses one amortization stream; the model applies the 30-year cap as the period for new gain/loss layers added after the valuation date. Modeling convention consistent with the AV's stated 30-year cap."
funding_policy,amo_period_current,Remaining period for current layer,plan_config.json:funding.amo_period_current,required,have,AV-direct,AV_2024,,,Funding policy,,28 years
funding_policy,amo_pay_growth,Payroll growth used in amortization,plan_config.json:funding.amo_pay_growth,required,have,AV-direct,AV_2024,66,73,"Appendix 2 §PAYROLL GROWTH FOR FUNDING OF UNFUNDED ACTUARIAL ACCRUED LIABILITY",,"Verified 2026-05-01: same 2.90% payroll growth assumption used for UAAL amortization."
funding_policy,funding_lag,Years between valuation and contribution effective date,plan_config.json:funding.funding_lag,required,partial,source-unverified,AV_2024,68,75,"Appendix 2 §REASONABLE ACTUARIALLY DETERMINED CONTRIBUTION (ADC) PER ASOP 4",,"Searched cert letter and Appendix 2 on 2026-05-01. AV does not state a ""1-year lag"" directly. AV does say ""the next opportunity there is to change the contribution rate, which in this case would be September 1, 2025 following the 2025 legislative session"" — consistent with a ~1-year gap between valuation cert (Nov 2024) and next rate-change opportunity (Sep 2025), but not a direct statement of the funding_lag parameter. Likely reflects TX legislative cycle / state FY timing as a modeling convention."
funding_policy,ava_smoothing_method,Asset smoothing method,plan_config.json:funding.ava_smoothing.method,required,have,AV-direct,AV_2024,67,74,"Appendix 2 §ACTUARIAL VALUE OF ASSETS",,"Verified 2026-05-01: ""The actuarial value of assets is equal to the market value of assets less a five-year phase-in of the excess/(shortfall) between expected investment return and actual income."" Method is gain/loss style — recognizes the difference between actual and expected returns over a phase-in period."
funding_policy,ava_smoothing_recognition_period,Years over which gains/losses are recognized,plan_config.json:funding.ava_smoothing.recognition_period,required,partial,AV-derived,AV_2024,67,74,"Appendix 2 §ACTUARIAL VALUE OF ASSETS",,"DIVERGENCE: AV specifies 5-year phase-in (""five-year phase-in...minimum rate of 20% per year""). Config has 4 and the model architecture is hardcoded for 4-year phasing (4 deferral buckets in src/pension_model/core/_funding_helpers.py with fractions 3/4, 2/3, 1/2 = 25%/year recognition over 4 years). Setting the config to 5 will not match the AV without model code changes (5th bucket + 1/5 fractions). See phase-anytime issue and phase-post-r generalization issue."
funding_policy,statutory_ee_rate_schedule,Statutory employee contribution rate schedule,plan_config.json:funding.statutory_rates.ee_rate_schedule,conditional,have,AV-direct,AV_2024,,,Funding policy,,
funding_policy,statutory_er_rate_components,Statutory employer rate components,plan_config.json:funding.statutory_rates.er_rate_components,conditional,have,AV-direct,AV_2024,,,Funding policy,,Includes public-edu surcharge
valuation_inputs,ben_payment,Annual benefit payments at valuation date,plan_config.json:valuation_inputs.all.ben_payment,required,have,AV-direct,AV_2024,17,24,Table 2 Summary of Cost Items,,$15.258B
valuation_inputs,retiree_pop,Retiree headcount at valuation date,plan_config.json:valuation_inputs.all.retiree_pop,required,have,AV-direct,AV_2024,17,24,Table 2,,508701
valuation_inputs,total_active_member,Active headcount at valuation date,plan_config.json:valuation_inputs.all.total_active_member,required,have,AV-direct,AV_2024,17,24,Table 2,,970872
valuation_inputs,val_norm_cost,Valuation normal cost rate,plan_config.json:valuation_inputs.all.val_norm_cost,required,have,AV-direct,AV_2024,17,24,Table 2,,12.1%
valuation_inputs,val_aal,Valuation AAL,plan_config.json:valuation_inputs.all.val_aal,required,have,AV-direct,AV_2024,17,24,Table 2,,$273.095B
valuation_inputs,val_payroll,Valuation payroll,plan_config.json:valuation_inputs.all.val_payroll,optional,missing,,AV_2024,,,Table 3b covered payroll,,Not currently in txtrs-av valuation_inputs; available from AV if needed
valuation_inputs,er_dc_cont_rate,Employer DC contribution rate,plan_config.json:valuation_inputs.all.er_dc_cont_rate,conditional,have,AV-direct,AV_2024,,,N/A — DB-only,,0.0
valuation_inputs,headcount_group,Class grouping for headcount aggregation,plan_config.json:valuation_inputs.all.headcount_group,optional,N/A,runtime-only,,,,,,Single-class plan
funding_year0,year,Valuation year stamp,data/funding/init_funding.csv:year,required,have,AV-direct,AV_2024,,,Title page,,2024
funding_year0,total_payroll,Year-0 total covered payroll,data/funding/init_funding.csv:total_payroll,required,have,AV-direct,AV_2024,17,24,Table 2,,
funding_year0,admin_exp_rate,Administrative expense rate,data/funding/init_funding.csv:admin_exp_rate,required,have,AV-direct,AV_2024,17,24,Table 2,,0.14%
funding_year0,total_aal,Year-0 total AAL,data/funding/init_funding.csv:total_aal,required,have,AV-direct,AV_2024,17,24,Table 2,funding_seed_from_av_v1,
funding_year0,aal_legacy,Year-0 AAL for legacy members,data/funding/init_funding.csv:aal_legacy,required,have,AV-direct,AV_2024,17,24,Table 2,funding_seed_from_av_v1,Equals total_aal in single-tier plan
funding_year0,aal_new,Year-0 AAL for new-tier members,data/funding/init_funding.csv:aal_new,conditional,N/A,,,,,,,Zero — no new tier at year 0
funding_year0,total_ava,Year-0 total actuarial value of assets,data/funding/init_funding.csv:total_ava,required,have,AV-direct,AV_2024,17,24,Table 2,funding_seed_from_av_v1,
funding_year0,ava_legacy,Year-0 AVA for legacy members,data/funding/init_funding.csv:ava_legacy,required,have,AV-direct,AV_2024,17,24,Table 2,funding_seed_from_av_v1,
funding_year0,ava_new,Year-0 AVA for new-tier members,data/funding/init_funding.csv:ava_new,conditional,N/A,,,,,,,
funding_year0,total_mva,Year-0 total market value of assets,data/funding/init_funding.csv:total_mva,required,have,AV-direct,AV_2024,20,27,Table 4 Development of Actuarial Value of Assets,funding_seed_from_av_v1,
funding_year0,mva_legacy,Year-0 MVA for legacy members,data/funding/init_funding.csv:mva_legacy,required,have,AV-direct,AV_2024,20,27,Table 4,funding_seed_from_av_v1,
funding_year0,mva_new,Year-0 MVA for new-tier members,data/funding/init_funding.csv:mva_new,conditional,N/A,,,,,,,
funding_year0,defer_y1_legacy,Asset gain/loss deferral bucket year 1 (legacy),data/funding/init_funding.csv:defer_y1_legacy,required,partial,AV-derived,AV_2024,20,27,Table 4,funding_seed_from_av_v1,"AV publishes one aggregate remaining deferral; per-year split is reconstructed. Only y2 is populated; y1/y3/y4 set to 0."
funding_year0,defer_y2_legacy,Asset gain/loss deferral bucket year 2 (legacy),data/funding/init_funding.csv:defer_y2_legacy,required,partial,AV-derived,AV_2024,20,27,Table 4,funding_seed_from_av_v1,Carries the full aggregate remaining deferral per source_notes funding_note
funding_year0,defer_y3_legacy,Asset gain/loss deferral bucket year 3 (legacy),data/funding/init_funding.csv:defer_y3_legacy,required,partial,AV-derived,AV_2024,20,27,Table 4,funding_seed_from_av_v1,Set to 0 — published aggregate not split by year
funding_year0,defer_y4_legacy,Asset gain/loss deferral bucket year 4 (legacy),data/funding/init_funding.csv:defer_y4_legacy,required,partial,AV-derived,AV_2024,20,27,Table 4,funding_seed_from_av_v1,Set to 0 — published aggregate not split by year
funding_year0,defer_y1_new,Asset gain/loss deferral bucket year 1 (new),data/funding/init_funding.csv:defer_y1_new,conditional,N/A,,,,,,,
funding_year0,defer_y2_new,Asset gain/loss deferral bucket year 2 (new),data/funding/init_funding.csv:defer_y2_new,conditional,N/A,,,,,,,
funding_year0,defer_y3_new,Asset gain/loss deferral bucket year 3 (new),data/funding/init_funding.csv:defer_y3_new,conditional,N/A,,,,,,,
funding_year0,defer_y4_new,Asset gain/loss deferral bucket year 4 (new),data/funding/init_funding.csv:defer_y4_new,conditional,N/A,,,,,,,
calibration,cal_factor,Top-level calibration scalar,calibration.json:cal_factor,required,have,computed,,,,,,1.0 in txtrs-av
calibration,nc_cal,Per-class normal cost calibration multiplier,calibration.json:classes.all.nc_cal,required,have,computed,,,,,,Computed by pension-model calibrate
calibration,pvfb_term_current,Per-class current term-vested PVFB plug,calibration.json:classes.all.pvfb_term_current,required,have,computed,,,,,,"Single-class plug absorbs per-bucket gaps; issue #48"
term_vested,avg_deferral_years,Average years from current age to assumed payout age,plan_config.json:term_vested.avg_deferral_years,required,partial,estimated,,,,,,"First-cut default of 12; refine from valuation term-vested demographics. Plan_config note flags this as provisional. Issue #76"
term_vested,avg_payout_years,Average payout duration once payments begin,plan_config.json:term_vested.avg_payout_years,required,partial,estimated,,,,,,"First-cut default of 25; refine from valuation term-vested demographics"
term_vested,method,Term-vested cashflow method identifier,plan_config.json:term_vested.method,required,have,runtime-only,,,,,,deferred_annuity
demographics,active_headcount,Active members by age and YOS,data/demographics/all_headcount.csv,required,have,AV-derived,AV_2024,41,48,Table 17 Distribution of Active Members by Age and Service,active-grid-band-to-point-v1,
demographics,active_salary,Active salary by age and YOS,data/demographics/all_salary.csv,required,have,AV-derived,AV_2024,41,48,Table 17,active-grid-band-to-point-v1,
demographics,salary_growth,Salary growth assumption by YOS,data/demographics/salary_growth.csv,required,have,AV-direct,AV_2024,63,70,Appendix 2 salary increase assumptions,salary_growth_build_v1,
demographics,retiree_distribution,Retiree count and benefit by age,data/demographics/retiree_distribution.csv,required,partial,AV-derived,AV_2024,42,49,Table 18 Distribution of Life Annuities by Age,retiree_distribution_av18_band_spread_v1,"Life annuities only (475891). Disabled annuities (Table 19) and survivors deferred — issue #71"
demographics,entrant_profile,New entrant age/salary distribution,data/demographics/entrant_profile.csv,optional,have,AV-derived,AV_2024,69,76,Appendix 2 NEW ENTRANT PROFILE,entrant-profile-boundary-merge-v1,
decrements,termination_rates,Termination rates table,data/decrements/all_termination_rates.csv,required,have,AV-derived,AV_2024,61,68,Appendix 2 rates of termination,termination_lookup_build_v1,Select-and-ultimate preserved
decrements,retirement_rates,Retirement rates table,data/decrements/all_retirement_rates.csv,required,partial,AV-derived,AV_2024,62,69,Appendix 2 rates of retirement,retirement_schedule_build_v1,"Source publishes M/F separately; runtime accepts one schedule so M/F are averaged. Source-backed but with a known simplification."
decrements,reduction_gft,Early-retirement reduction table (grandfathered),data/decrements/reduction_gft.csv,conditional,have,AV-direct,AV_2024,47,54,Appendix 1 grandfathered early-retirement reduction table,reduction_table_build_v1,
decrements,reduction_others,Early-retirement reduction table (non-grandfathered),data/decrements/reduction_others.csv,conditional,have,AV-direct,AV_2024,47,54,Appendix 1 non-grandfathered early-retirement reduction table,reduction_table_build_v1,
mortality,mortality_base_table_name,Named base mortality table,plan_config.json:mortality.base_table,required,have,runtime-only,,,,,,Label "txtrs_av_av_first" identifies the AV-first build path
mortality,mortality_improvement_scale_name,Named improvement scale,plan_config.json:mortality.improvement_scale,required,have,runtime-only,,,,,,Label "ump_2021_immediate"
mortality,male_mp_forward_shift,Male age set-forward applied at runtime,plan_config.json:modeling.male_mp_forward_shift,optional,have,AV-direct,AV_2024,60,67,AV mortality assumptions narrative,,2 years forward per AV
mortality,base_rates,Base mortality rates by age and gender,data/mortality/base_rates.csv,required,partial,estimated,"AV_2024; SOA_PUB2010_AMOUNT; TXTRS_AV_PROTO",60;64,67;71,AV mortality narrative + PubT-2010(B) Below-Median + TX prototype,txtrs_av_mortality_assemble_v1,"Active half source-direct from PubT-2010(B). Retiree half is fallback estimator: AV-named 2021 TRS Healthy Pensioner table is not public. Issues #72 and #73."
mortality,improvement_scale,Mortality improvement rates,data/mortality/improvement_scale.csv,required,have,AV-referenced-external,"AV_2024; SOA_MP2021",64,71,Scale UMP 2021 (ultimate rates of MP-2021),txtrs_av_ump_immediate_convergence_v1,"Immediate-convergence interpretation inferred from AV plus experience study plus GASB 67"
funding_data,return_scenarios,Investment return scenarios,data/funding/return_scenarios.csv,required,have,runtime-only,AV_2024,,,Table 12c assumption rate,txtrs_av_return_scenarios_v1,Long-term rate is AV-direct; recession scenarios are modeling-choice stress paths
funding_data,current_term_vested_cashflow,Estimated payment stream for current term-vested members,data/funding/current_term_vested_cashflow.csv,required,have,computed,,,,,term_vested_deferred_annuity_v1,"Built from pvfb_term_current plus dr_current plus COLA plus term_vested parameters. Issue #76."
funding_data,amort_layers,Amortization layer schedule,data/funding/amort_layers.csv,conditional,N/A,,,,,,,No FRS-style layered amortization for txtrs-av
modeling,entrant_salary_at_start_year,Anchor entrant profile salary at start_year,plan_config.json:modeling.entrant_salary_at_start_year,optional,have,runtime-only,,,,,,
modeling,use_earliest_retire,Use earliest eligible retirement age path,plan_config.json:modeling.use_earliest_retire,optional,N/A,runtime-only,,,,,,Not present in txtrs-av config
